Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote,Number of port calls Missing value
2018,392,"Japan",04,"Dry breakbulk carriers",27153,,
2018,392,"Japan",06,"Roll-on/ roll-off ships",33371,,
2018,392,"Japan",03,"Container ships",38238,,
2018,392,"Japan",01,"Passenger ships",85118,,
2018,410,"Korea, Republic of",00,"All ships",71602,,
2018,410,"Korea, Republic of",02,"Liquid bulk carriers",17397,,
2018,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",2457,,
2018,410,"Korea, Republic of",08,"Liquefied natural gas carriers",582,,
2018,410,"Korea, Republic of",05,"Dry bulk carriers",5967,,
2018,410,"Korea, Republic of",04,"Dry breakbulk carriers",11874,,
2018,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",6708,,
2018,410,"Korea, Republic of",03,"Container ships",20777,,
2018,410,"Korea, Republic of",01,"Passenger ships",5840,,
2018,528,"Netherlands (Kingdom of the)",00,"All ships",123726,,
2018,528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",41843,,
2018,528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",2331,,
2018,528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",159,,
2018,528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",4355,,
2018,528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",26709,,
2018,528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",12637,,
2018,528,"Netherlands (Kingdom of the)",03,"Container ships",12309,,
2018,528,"Netherlands (Kingdom of the)",01,"Passenger ships",23383,,
2018,579,"Norway",00,"All ships",524469,,
2018,579,"Norway",02,"Liquid bulk carriers",5600,,
2018,579,"Norway",07,"Liquefied petroleum gas carriers",1142,,
2018,579,"Norway",08,"Liquefied natural gas carriers",562,,
2018,579,"Norway",05,"Dry bulk carriers",2282,,
2018,579,"Norway",04,"Dry breakbulk carriers",32692,,
2018,579,"Norway",06,"Roll-on/ roll-off ships",3525,,
2018,579,"Norway",03,"Container ships",3536,,
2018,579,"Norway",01,"Passenger ships",475130,,
2018,608,"Philippines",00,"All ships",37484,,
2018,608,"Philippines",02,"Liquid bulk carriers",3452,,
2018,608,"Philippines",07,"Liquefied petroleum gas carriers",443,,
2018,608,"Philippines",05,"Dry bulk carriers",1719,,
2018,608,"Philippines",04,"Dry breakbulk carriers",9833,,
2018,608,"Philippines",06,"Roll-on/ roll-off ships",1841,,
2018,608,"Philippines",03,"Container ships",4027,,
2018,608,"Philippines",01,"Passenger ships",16169,,
2018,643,"Russian Federation",00,"All ships",81187,,
2018,643,"Russian Federation",02,"Liquid bulk carriers",23399,,
2018,643,"Russian Federation",07,"Liquefied petroleum gas carriers",423,,
2018,643,"Russian Federation",08,"Liquefied natural gas carriers",261,,
2018,643,"Russian Federation",05,"Dry bulk carriers",6498,,
2018,643,"Russian Federation",04,"Dry breakbulk carriers",30312,,
2018,643,"Russian Federation",06,"Roll-on/ roll-off ships",3432,,
2018,643,"Russian Federation",03,"Container ships",3886,,
2018,643,"Russian Federation",01,"Passenger ships",12976,,
2018,702,"Singapore",00,"All ships",,,"Not publishable"
2018,702,"Singapore",02,"Liquid bulk carriers",,,"Not publishable"
2018,702,"Singapore",07,"Liquefied petroleum gas carriers",,,"Not publishable"
2018,702,"Singapore",08,"Liquefied natural gas carriers",,,"Not publishable"
2018,702,"Singapore",05,"Dry bulk carriers",,,"Not publishable"
2018,702,"Singapore",04,"Dry breakbulk carriers",,,"Not publishable"
2018,702,"Singapore",06,"Roll-on/ roll-off ships",,,"Not publishable"
2018,702,"Singapore",03,"Container ships",,,"Not publishable"
2018,702,"Singapore",01,"Passenger ships",,,"Not publishable"
2018,724,"Spain",00,"All ships",139717,,
2018,724,"Spain",02,"Liquid bulk carriers",14882,,
2018,724,"Spain",07,"Liquefied petroleum gas carriers",1400,,
2018,724,"Spain",08,"Liquefied natural gas carriers",246,,
2018,724,"Spain",05,"Dry bulk carriers",3139,,
2018,724,"Spain",04,"Dry breakbulk carriers",13656,,
2018,724,"Spain",06,"Roll-on/ roll-off ships",11088,,
2018,724,"Spain",03,"Container ships",14915,,
2018,724,"Spain",01,"Passenger ships",80391,,
2018,752,"Sweden",00,"All ships",79238,,
2018,752,"Sweden",02,"Liquid bulk carriers",7143,,
2018,752,"Sweden",07,"Liquefied petroleum gas carriers",741,,
2018,752,"Sweden",08,"Liquefied natural gas carriers",107,,
2018,752,"Sweden",05,"Dry bulk carriers",1443,,
2018,752,"Sweden",04,"Dry breakbulk carriers",10938,,
2018,752,"Sweden",06,"Roll-on/ roll-off ships",2928,,
2018,752,"Sweden",03,"Container ships",2161,,
2018,752,"Sweden",01,"Passenger ships",53777,,
2018,792,"Türkiye",00,"All ships",184169,,
2018,792,"Türkiye",02,"Liquid bulk carriers",6873,,
2018,792,"Türkiye",07,"Liquefied petroleum gas carriers",683,,
2018,792,"Türkiye",08,"Liquefied natural gas carriers",90,,
2018,792,"Türkiye",05,"Dry bulk carriers",3799,,
2018,792,"Türkiye",04,"Dry breakbulk carriers",19404,,
2018,792,"Türkiye",06,"Roll-on/ roll-off ships",6154,,
2018,792,"Türkiye",03,"Container ships",10485,,
2018,792,"Türkiye",01,"Passenger ships",136681,,
2018,926,"United Kingdom",00,"All ships",194214,,
2018,926,"United Kingdom",02,"Liquid bulk carriers",12357,,
2018,926,"United Kingdom",07,"Liquefied petroleum gas carriers",2086,,
2018,926,"United Kingdom",08,"Liquefied natural gas carriers",117,,
2018,926,"United Kingdom",05,"Dry bulk carriers",1800,,
2018,926,"United Kingdom",04,"Dry breakbulk carriers",17854,,
2018,926,"United Kingdom",06,"Roll-on/ roll-off ships",15870,,
2018,926,"United Kingdom",03,"Container ships",8355,,
2018,926,"United Kingdom",01,"Passenger ships",135775,,
2018,842,"United States of America",00,"All ships",284429,,
2018,842,"United States of America",02,"Liquid bulk carriers",22011,,
2018,842,"United States of America",07,"Liquefied petroleum gas carriers",1787,,
2018,842,"United States of America",08,"Liquefied natural gas carriers",470,,
2018,842,"United States of America",05,"Dry bulk carriers",15710,,
2018,842,"United States of America",04,"Dry breakbulk carriers",8016,,
2018,842,"United States of America",06,"Roll-on/ roll-off ships",7603,,
2018,842,"United States of America",03,"Container ships",19817,,
2018,842,"United States of America",01,"Passenger ships",209015,,
2018,0000,"World",00,"All ships",4112944,,
2018,0000,"World",02,"Liquid bulk carriers",494120,,
2018,0000,"World",07,"Liquefied petroleum gas carriers",49357,,
2018,0000,"World",08,"Liquefied natural gas carriers",10617,,
2018,0000,"World",05,"Dry bulk carriers",259551,,
2018,0000,"World",04,"Dry breakbulk carriers",430344,,
2018,0000,"World",06,"Roll-on/ roll-off ships",187532,,
