Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2019,392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",16,,,6331,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,410,"Korea, Republic of",00,"All ships",0.7931,,,17,,,19442,,,21918,,,2880,,,232618,,,327095,,,23756,,
2019,410,"Korea, Republic of",02,"Liquid bulk carriers",0.7486,,,23,,,13975,,,24250,,,,,"Not available or not separately reported",170004,,,323183,,,,,"Not available or not separately reported"
2019,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.766,,,16,,,7323,,,8047,,,,,"Not available or not separately reported",59226,,,58899,,,,,"Not available or not separately reported"
2019,410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.033,,,11,,,111064,,,87415,,,,,"Not available or not separately reported",168189,,,156000,,,,,"Not available or not separately reported"
2019,410,"Korea, Republic of",05,"Dry bulk carriers",2.0444,,,14,,,28580,,,51436,,,,,"Not available or not separately reported",172521,,,327095,,,,,"Not available or not separately reported"
2019,410,"Korea, Republic of",04,"Dry breakbulk carriers",1.1701,,,18,,,5370,,,7914,,,,,"Not available or not separately reported",84503,,,138743,,,,,"Not available or not separately reported"
2019,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,27747,,,11276,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2019,410,"Korea, Republic of",03,"Container ships",0.5813,,,14,,,30951,,,,,"Not available or not separately reported",2880,,,232618,,,,,"Not available or not separately reported",23756,,
2019,410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",17,,,15356,,,,,"Not available or not separately reported",,,"Not available or not separately reported",144216,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",00,"All ships",0.5736,,,16,,,13362,,,14620,,,2990,,,232618,,,322861,,,23756,,
2019,528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.5063,,,15,,,10050,,,18522,,,,,"Not available or not separately reported",170004,,,322861,,,,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",0.9465,,,11,,,6866,,,7643,,,,,"Not available or not separately reported",48963,,,58690,,,,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.0736,,,5,,,63635,,,50321,,,,,"Not available or not separately reported",137000,,,107514,,,,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",0.6472,,,13,,,36340,,,64885,,,,,"Not available or not separately reported",151596,,,300660,,,,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.4125,,,19,,,3929,,,5282,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",21,,,15479,,,6356,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2019,528,"Netherlands (Kingdom of the)",03,"Container ships",0.7986,,,13,,,32385,,,,,"Not available or not separately reported",2990,,,232618,,,,,"Not available or not separately reported",23756,,
2019,528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",14,,,15028,,,,,"Not available or not separately reported",,,"Not available or not separately reported",177000,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,579,"Norway",00,"All ships",0.4174,,,17,,,4306,,,6958,,,789,,,171598,,,320805,,,1678,,
2019,579,"Norway",02,"Liquid bulk carriers",0.6028,,,15,,,11422,,,18341,,,,,"Not available or not separately reported",165680,,,320805,,,,,"Not available or not separately reported"
2019,579,"Norway",07,"Liquefied petroleum gas carriers",0.7486,,,11,,,10862,,,12120,,,,,"Not available or not separately reported",48051,,,55047,,,,,"Not available or not separately reported"
2019,579,"Norway",08,"Liquefied natural gas carriers",0.3358,,,11,,,18764,,,13280,,,,,"Not available or not separately reported",136739,,,96811,,,,,"Not available or not separately reported"
2019,579,"Norway",05,"Dry bulk carriers",0.8292,,,17,,,17154,,,28837,,,,,"Not available or not separately reported",109716,,,211081,,,,,"Not available or not separately reported"
2019,579,"Norway",04,"Dry breakbulk carriers",0.3271,,,22,,,2834,,,3323,,,,,"Not available or not separately reported",51065,,,72562,,,,,"Not available or not separately reported"
2019,579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,9966,,,6006,,,,,"Not available or not separately reported",73358,,,23889,,,,,"Not available or not separately reported"
2019,579,"Norway",03,"Container ships",0.3264,,,16,,,8327,,,,,"Not available or not separately reported",789,,,17189,,,,,"Not available or not separately reported",1678,,
2019,579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",16,,,4172,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,608,"Philippines",00,"All ships",0.9812,,,20,,,7075,,,11452,,,1816,,,169379,,,336634,,,6800,,
2019,608,"Philippines",02,"Liquid bulk carriers",0.9069,,,12,,,7095,,,11427,,,,,"Not available or not separately reported",164000,,,320785,,,,,"Not available or not separately reported"
2019,608,"Philippines",07,"Liquefied petroleum gas carriers",0.8101,,,12,,,6296,,,6986,,,,,"Not available or not separately reported",48963,,,58560,,,,,"Not available or not separately reported"
2019,608,"Philippines",05,"Dry bulk carriers",4.3472,,,11,,,24599,,,42979,,,,,"Not available or not separately reported",164325,,,336634,,,,,"Not available or not separately reported"
2019,608,"Philippines",04,"Dry breakbulk carriers",0.975,,,19,,,4271,,,5589,,,,,"Not available or not separately reported",46909,,,60361,,,,,"Not available or not separately reported"
2019,608,"Philippines",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",26,,,16273,,,7520,,,,,"Not available or not separately reported",72684,,,32441,,,,,"Not available or not separately reported"
2019,608,"Philippines",03,"Container ships",0.8431,,,15,,,19124,,,,,"Not available or not separately reported",1816,,,71786,,,,,"Not available or not separately reported",6800,,
2019,608,"Philippines",01,"Passenger ships",,,"Not available or not separately reported",23,,,3057,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,643,"Russian Federation",00,"All ships",1.2938,,,25,,,11770,,,16895,,,1542,,,171598,,,206960,,,7100,,
2019,643,"Russian Federation",02,"Liquid bulk carriers",1.0271,,,23,,,13386,,,22656,,,,,"Not available or not separately reported",94729,,,167295,,,,,"Not available or not separately reported"
2019,643,"Russian Federation",07,"Liquefied petroleum gas carriers",1.233,,,10,,,9985,,,11298,,,,,"Not available or not separately reported",18425,,,23495,,,,,"Not available or not separately reported"
2019,643,"Russian Federation",08,"Liquefied natural gas carriers",1.066,,,7,,,98481,,,72855,,,,,"Not available or not separately reported",128975,,,97000,,,,,"Not available or not separately reported"
2019,643,"Russian Federation",05,"Dry bulk carriers",2.2101,,,14,,,25833,,,44815,,,,,"Not available or not separately reported",107413,,,206960,,,,,"Not available or not separately reported"
2019,643,"Russian Federation",04,"Dry breakbulk carriers",1.6118,,,30,,,4008,,,5117,,,,,"Not available or not separately reported",54529,,,80500,,,,,"Not available or not separately reported"
2019,643,"Russian Federation",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",27,,,10507,,,5465,,,,,"Not available or not separately reported",60975,,,22910,,,,,"Not available or not separately reported"
2019,643,"Russian Federation",03,"Container ships",1.3028,,,16,,,17215,,,,,"Not available or not separately reported",1542,,,85676,,,,,"Not available or not separately reported",7100,,
2019,643,"Russian Federation",01,"Passenger ships",,,"Not available or not separately reported",29,,,23268,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,702,"Singapore",00,"All ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
2019,702,"Singapore",02,"Liquid bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2019,702,"Singapore",07,"Liquefied petroleum gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2019,702,"Singapore",08,"Liquefied natural gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2019,702,"Singapore",05,"Dry bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2019,702,"Singapore",04,"Dry breakbulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2019,702,"Singapore",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2019,702,"Singapore",03,"Container ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable"
2019,702,"Singapore",01,"Passenger ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,724,"Spain",00,"All ships",0.8792,,,17,,,16226,,,13971,,,3235,,,232618,,,318744,,,23756,,
2019,724,"Spain",02,"Liquid bulk carriers",0.8972,,,11,,,11074,,,18168,,,,,"Not available or not separately reported",160457,,,318744,,,,,"Not available or not separately reported"
2019,724,"Spain",07,"Liquefied petroleum gas carriers",0.9576,,,11,,,7631,,,8761,,,,,"Not available or not separately reported",48963,,,55209,,,,,"Not available or not separately reported"
2019,724,"Spain",08,"Liquefied natural gas carriers",1.0368,,,10,,,92790,,,73120,,,,,"Not available or not separately reported",163922,,,156000,,,,,"Not available or not separately reported"
2019,724,"Spain",05,"Dry bulk carriers",1.899,,,16,,,22414,,,38830,,,,,"Not available or not separately reported",151915,,,313049,,,,,"Not available or not separately reported"
2019,724,"Spain",04,"Dry breakbulk carriers",1.1653,,,15,,,5127,,,7197,,,,,"Not available or not separately reported",71543,,,81279,,,,,"Not available or not separately reported"
2019,724,"Spain",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,22418,,,7733,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2019,724,"Spain",03,"Container ships",0.6521,,,14,,,35592,,,,,"Not available or not separately reported",3235,,,232618,,,,,"Not available or not separately reported",23756,,
2019,724,"Spain",01,"Passenger ships",,,"Not available or not separately reported",19,,,14158,,,,,"Not available or not separately reported",,,"Not available or not separately reported",225282,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,752,"Sweden",00,"All ships",0.8007,,,22,,,15712,,,8928,,,1505,,,214286,,,167295,,,19630,,
2019,752,"Sweden",02,"Liquid bulk carriers",0.683,,,14,,,8321,,,12788,,,,,"Not available or not separately reported",93147,,,167295,,,,,"Not available or not separately reported"
2019,752,"Sweden",07,"Liquefied petroleum gas carriers",0.8535,,,14,,,7745,,,8694,,,,,"Not available or not separately reported",47379,,,58690,,,,,"Not available or not separately reported"
2019,752,"Sweden",05,"Dry bulk carriers",0.4139,,,27,,,9760,,,15038,,,,,"Not available or not separately reported",45223,,,84904,,,,,"Not available or not separately reported"
2019,752,"Sweden",04,"Dry breakbulk carriers",1.059,,,20,,,3725,,,5223,,,,,"Not available or not separately reported",37499,,,61026,,,,,"Not available or not separately reported"
2019,752,"Sweden",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",19,,,27110,,,10476,,,,,"Not available or not separately reported",76420,,,39516,,,,,"Not available or not separately reported"
2019,752,"Sweden",03,"Container ships",0.6292,,,14,,,16380,,,,,"Not available or not separately reported",1505,,,214286,,,,,"Not available or not separately reported",19630,,
2019,752,"Sweden",01,"Passenger ships",,,"Not available or not separately reported",24,,,18688,,,,,"Not available or not separately reported",,,"Not available or not separately reported",145655,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,792,"Türkiye",00,"All ships",1.1778,,,24,,,5465,,,15712,,,3130,,,176490,,,319616,,,15908,,
2019,792,"Türkiye",02,"Liquid bulk carriers",1.1573,,,13,,,18665,,,32407,,,,,"Not available or not separately reported",170004,,,319616,,,,,"Not available or not separately reported"
2019,792,"Türkiye",07,"Liquefied petroleum gas carriers",1.2931,,,15,,,17965,,,20804,,,,,"Not available or not separately reported",48963,,,58899,,,,,"Not available or not separately reported"
2019,792,"Türkiye",08,"Liquefied natural gas carriers",1.2632,,,11,,,111566,,,90060,,,,,"Not available or not separately reported",137535,,,122006,,,,,"Not available or not separately reported"
2019,792,"Türkiye",05,"Dry bulk carriers",3.5681,,,15,,,24756,,,42515,,,,,"Not available or not separately reported",96452,,,207591,,,,,"Not available or not separately reported"
2019,792,"Türkiye",04,"Dry breakbulk carriers",1.475,,,27,,,3976,,,5564,,,,,"Not available or not separately reported",45349,,,62980,,,,,"Not available or not separately reported"
2019,792,"Türkiye",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",27,,,20546,,,8454,,,,,"Not available or not separately reported",77000,,,46705,,,,,"Not available or not separately reported"
2019,792,"Türkiye",03,"Container ships",0.6313,,,16,,,34599,,,,,"Not available or not separately reported",3130,,,176490,,,,,"Not available or not separately reported",15908,,
2019,792,"Türkiye",01,"Passenger ships",,,"Not available or not separately reported",25,,,1640,,,,,"Not available or not separately reported",,,"Not available or not separately reported",99836,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,926,"United Kingdom",00,"All ships",1.0785,,,17,,,13691,,,12507,,,3383,,,232618,,,320926,,,23756,,
2019,926,"United Kingdom",02,"Liquid bulk carriers",1.0417,,,14,,,12395,,,20650,,,,,"Not available or not separately reported",166308,,,320926,,,,,"Not available or not separately reported"
2019,926,"United Kingdom",07,"Liquefied petroleum gas carriers",1.1153,,,11,,,6647,,,7052,,,,,"Not available or not separately reported",59226,,,54540,,,,,"Not available or not separately reported"
2019,926,"United Kingdom",08,"Liquefied natural gas carriers",1.2729,,,8,,,112256,,,91876,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2019,926,"United Kingdom",05,"Dry bulk carriers",2.0368,,,13,,,26163,,,44802,,,,,"Not available or not separately reported",106405,,,207805,,,,,"Not available or not separately reported"
2019,926,"United Kingdom",04,"Dry breakbulk carriers",1.4868,,,20,,,3355,,,4618,,,,,"Not available or not separately reported",71543,,,57441,,,,,"Not available or not separately reported"
2019,926,"United Kingdom",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,23971,,,9977,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2019,926,"United Kingdom",03,"Container ships",0.7292,,,14,,,36766,,,,,"Not available or not separately reported",3383,,,232618,,,,,"Not available or not separately reported",23756,,
2019,926,"United Kingdom",01,"Passenger ships",,,"Not available or not separately reported",17,,,12197,,,,,"Not available or not separately reported",,,"Not available or not separately reported",177000,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2019,842,"United States of America",00,"All ships",1.4326,,,24,,,16506,,,46637,,,5322,,,228081,,,322829,,,19462,,
2019,842,"United States of America",02,"Liquid bulk carriers",1.6472,,,10,,,35433,,,61411,,,,,"Not available or not separately reported",170000,,,322829,,,,,"Not available or not separately reported"
2019,842,"United States of America",07,"Liquefied petroleum gas carriers",1.9656,,,9,,,30823,,,35301,,,,,"Not available or not separately reported",59226,,,59138,,,,,"Not available or not separately reported"
2019,842,"United States of America",08,"Liquefied natural gas carriers",1.2882,,,5,,,97819,,,79450,,,,,"Not available or not separately reported",149367,,,156000,,,,,"Not available or not separately reported"
2019,842,"United States of America",05,"Dry bulk carriers",1.858,,,21,,,28069,,,50068,,,,,"Not available or not separately reported",108237,,,209331,,,,,"Not available or not separately reported"
2019,842,"United States of America",04,"Dry breakbulk carriers",1.833,,,17,,,12253,,,16551,,,,,"Not available or not separately reported",66870,,,73296,,,,,"Not available or not separately reported"
2019,842,"United States of America",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,57802,,,21091,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2019,842,"United States of America",03,"Container ships",1.025,,,13,,,59336,,,,,"Not available or not separately reported",5322,,,194250,,,,,"Not available or not separately reported",19462,,
2019,842,"United States of America",01,"Passenger ships",,,"Not available or not separately reported",28,,,8322,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,0000,"World",00,"All ships",0.9986,,,18,,,14663,,,24956,,,3543,,,237200,,,441561,,,23964,,
2020,0000,"World",02,"Liquid bulk carriers",0.9681,,,14,,,15704,,,27242,,,,,"Not available or not separately reported",234006,,,441561,,,,,"Not available or not separately reported"
2020,0000,"World",07,"Liquefied petroleum gas carriers",1.0417,,,15,,,10826,,,12164,,,,,"Not available or not separately reported",59229,,,64220,,,,,"Not available or not separately reported"
2020,0000,"World",08,"Liquefied natural gas carriers",1.1194,,,12,,,95270,,,74229,,,,,"Not available or not separately reported",168189,,,156000,,,,,"Not available or not separately reported"
2020,0000,"World",05,"Dry bulk carriers",2.066,,,14,,,32146,,,57453,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2020,0000,"World",04,"Dry breakbulk carriers",1.15,,,21,,,5439,,,7405,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2020,0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,25389,,,10242,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2020,0000,"World",03,"Container ships",0.7063,,,14,,,38308,,,,,"Not available or not separately reported",3543,,,237200,,,,,"Not available or not separately reported",23964,,
2020,0000,"World",01,"Passenger ships",,,"Not available or not separately reported",20,,,7439,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,036,"Australia",00,"All ships",1.5069,,,21,,,26033,,,81621,,,4774,,,169379,,,299688,,,9572,,
2020,036,"Australia",02,"Liquid bulk carriers",1.2726,,,8,,,22886,,,38833,,,,,"Not available or not separately reported",85496,,,164274,,,,,"Not available or not separately reported"
2020,036,"Australia",07,"Liquefied petroleum gas carriers",0.9194,,,9,,,13571,,,15419,,,,,"Not available or not separately reported",51035,,,58591,,,,,"Not available or not separately reported"
2020,036,"Australia",08,"Liquefied natural gas carriers",1.1927,,,11,,,111798,,,85340,,,,,"Not available or not separately reported",144978,,,97730,,,,,"Not available or not separately reported"
2020,036,"Australia",05,"Dry bulk carriers",1.6111,,,10,,,59379,,,111119,,,,,"Not available or not separately reported",152457,,,299688,,,,,"Not available or not separately reported"
2020,036,"Australia",04,"Dry breakbulk carriers",2.0181,,,12,,,20317,,,29494,,,,,"Not available or not separately reported",91649,,,101496,,,,,"Not available or not separately reported"
2020,036,"Australia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,38035,,,14729,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2020,036,"Australia",03,"Container ships",1.4146,,,13,,,52451,,,,,"Not available or not separately reported",4774,,,109712,,,,,"Not available or not separately reported",9572,,
2020,036,"Australia",01,"Passenger ships",,,"Not available or not separately reported",30,,,3463,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,124,"Canada",00,"All ships",0.7743,,,27,,,11067,,,34669,,,5198,,,172000,,,320780,,,15128,,
2020,124,"Canada",02,"Liquid bulk carriers",1.084,,,12,,,23600,,,39461,,,,,"Not available or not separately reported",170618,,,320780,,,,,"Not available or not separately reported"
2020,124,"Canada",07,"Liquefied petroleum gas carriers",1.5076,,,12,,,41742,,,49632,,,,,"Not available or not separately reported",51035,,,58591,,,,,"Not available or not separately reported"
2020,124,"Canada",05,"Dry bulk carriers",0.4059,,,22,,,27583,,,47008,,,,,"Not available or not separately reported",109731,,,210000,,,,,"Not available or not separately reported"
2020,124,"Canada",04,"Dry breakbulk carriers",0.5736,,,12,,,11759,,,16360,,,,,"Not available or not separately reported",49091,,,63581,,,,,"Not available or not separately reported"
2020,124,"Canada",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",19,,,10912,,,6129,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2020,124,"Canada",03,"Container ships",1.7962,,,13,,,58222,,,,,"Not available or not separately reported",5198,,,172000,,,,,"Not available or not separately reported",15128,,
2020,124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",30,,,6220,,,,,"Not available or not separately reported",,,"Not available or not separately reported",149215,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,156,"China",00,"All ships",1.0764,,,13,,,32258,,,45917,,,4637,,,237200,,,404389,,,23964,,
2020,156,"China",02,"Liquid bulk carriers",1.1375,,,11,,,20301,,,35530,,,,,"Not available or not separately reported",170618,,,323183,,,,,"Not available or not separately reported"
2020,156,"China",07,"Liquefied petroleum gas carriers",1.0222,,,14,,,8813,,,9664,,,,,"Not available or not separately reported",59229,,,64220,,,,,"Not available or not separately reported"
2020,156,"China",08,"Liquefied natural gas carriers",1.1913,,,10,,,96308,,,76726,,,,,"Not available or not separately reported",168189,,,156000,,,,,"Not available or not separately reported"
2020,156,"China",05,"Dry bulk carriers",2.0181,,,13,,,40924,,,74435,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2020,156,"China",04,"Dry breakbulk carriers",1.2736,,,16,,,10101,,,14315,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2020,156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,34742,,,11396,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2020,156,"China",03,"Container ships",0.6208,,,12,,,49495,,,,,"Not available or not separately reported",4637,,,237200,,,,,"Not available or not separately reported",23964,,
2020,156,"China",01,"Passenger ships",,,"Not available or not separately reported",13,,,15690,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,191,"Croatia",00,"All ships",1.1118,,,16,,,3534,,,15614,,,3147,,,153744,,,178361,,,15226,,
2020,191,"Croatia",02,"Liquid bulk carriers",0.9215,,,14,,,16523,,,28633,,,,,"Not available or not separately reported",84850,,,164733,,,,,"Not available or not separately reported"
2020,191,"Croatia",05,"Dry bulk carriers",2.3528,,,34,,,7893,,,13051,,,,,"Not available or not separately reported",94035,,,178361,,,,,"Not available or not separately reported"
2020,191,"Croatia",04,"Dry breakbulk carriers",2.2649,,,22,,,4828,,,6481,,,,,"Not available or not separately reported",45349,,,54204,,,,,"Not available or not separately reported"
2020,191,"Croatia",03,"Container ships",0.6097,,,13,,,33387,,,,,"Not available or not separately reported",3147,,,153744,,,,,"Not available or not separately reported",15226,,
2020,191,"Croatia",01,"Passenger ships",,,"Not available or not separately reported",16,,,3119,,,,,"Not available or not separately reported",,,"Not available or not separately reported",128052,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,208,"Denmark",00,"All ships",0.7729,,,19,,,9537,,,7542,,,1787,,,214286,,,159314,,,19630,,
2020,208,"Denmark",02,"Liquid bulk carriers",0.6951,,,16,,,8331,,,13165,,,,,"Not available or not separately reported",90000,,,159314,,,,,"Not available or not separately reported"
2020,208,"Denmark",07,"Liquefied petroleum gas carriers",1.034,,,11,,,4735,,,5326,,,,,"Not available or not separately reported",20151,,,24281,,,,,"Not available or not separately reported"
2020,208,"Denmark",05,"Dry bulk carriers",0.8608,,,13,,,8954,,,14516,,,,,"Not available or not separately reported",54486,,,95263,,,,,"Not available or not separately reported"
2020,208,"Denmark",04,"Dry breakbulk carriers",0.9312,,,24,,,3021,,,4079,,,,,"Not available or not separately reported",40169,,,48821,,,,,"Not available or not separately reported"
2020,208,"Denmark",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",19,,,21214,,,12247,,,,,"Not available or not separately reported",60500,,,24485,,,,,"Not available or not separately reported"
2020,208,"Denmark",03,"Container ships",0.4469,,,16,,,19470,,,,,"Not available or not separately reported",1787,,,214286,,,,,"Not available or not separately reported",19630,,
2020,208,"Denmark",01,"Passenger ships",,,"Not available or not separately reported",19,,,9851,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168800,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,251,"France",00,"All ships",1.1479,,,16,,,21626,,,16422,,,5089,,,236583,,,320926,,,23656,,
2020,251,"France",02,"Liquid bulk carriers",1.0549,,,13,,,11630,,,19268,,,,,"Not available or not separately reported",166308,,,320926,,,,,"Not available or not separately reported"
2020,251,"France",07,"Liquefied petroleum gas carriers",1.1205,,,12,,,9100,,,10207,,,,,"Not available or not separately reported",48167,,,58610,,,,,"Not available or not separately reported"
2020,251,"France",08,"Liquefied natural gas carriers",1.1625,,,9,,,104568,,,81457,,,,,"Not available or not separately reported",163922,,,130298,,,,,"Not available or not separately reported"
2020,251,"France",05,"Dry bulk carriers",2.9281,,,13,,,23701,,,41119,,,,,"Not available or not separately reported",106952,,,205203,,,,,"Not available or not separately reported"
2020,251,"France",04,"Dry breakbulk carriers",1.6375,,,17,,,4630,,,6416,,,,,"Not available or not separately reported",46112,,,72924,,,,,"Not available or not separately reported"
2020,251,"France",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,30259,,,12053,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2020,251,"France",03,"Container ships",0.7819,,,14,,,56667,,,,,"Not available or not separately reported",5089,,,236583,,,,,"Not available or not separately reported",23656,,
2020,251,"France",01,"Passenger ships",,,"Not available or not separately reported",17,,,22427,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183900,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,276,"Germany",00,"All ships",0.8076,,,19,,,13701,,,9051,,,4442,,,236583,,,319000,,,23964,,
2020,276,"Germany",02,"Liquid bulk carriers",0.5111,,,18,,,4871,,,8049,,,,,"Not available or not separately reported",160874,,,319000,,,,,"Not available or not separately reported"
2020,276,"Germany",07,"Liquefied petroleum gas carriers",0.8438,,,13,,,5508,,,6008,,,,,"Not available or not separately reported",49145,,,54656,,,,,"Not available or not separately reported"
